qid,nl_question,query_class,difficulty,gold_hash,pred_sql,pred_hash,exec_ok,den_acc,join_hall,llm_error,latency_s,exec_error
Q088,"For each object_type, rank the top 3 years by event count.",window_agg,medium,99f061ad43a2a4dda028dc70eb0500b47ef659065319307af52215bb546e7c5f,"Based on the examples you've seen, I need to see the actual question and schema to generate the fixed SQL.

Could you please provide:
1. The **question** you're trying to answer
2. The **database schema** (table names and columns)
3. The **buggy SQL** that needs to be fixed

Once you share those details, I'll apply the NatSQL-to-SQL pattern and give you the corrected query.",,0,0,0,0,7.729,"Parser Error: syntax error at or near ""Based"""
Q089,Show the yearly change in billing_created event counts compared to the previous year.,window_agg,medium,93b017cdb557a7426f43449dd216b47733a8b01fe3642d74dfebc41e5b48b948,"WITH yearly_counts AS (
  SELECT 
    EXTRACT(YEAR FROM timestamp) AS year,
    COUNT(*) AS event_count
  FROM events
  WHERE event_type = 'billing_created'
  GROUP BY EXTRACT(YEAR FROM timestamp)
)
SELECT 
  year,
  event_count,
  LAG(event_count) OVER (ORDER BY year) AS previous_year_count,
  event_count - LAG(event_count) OVER (ORDER BY year) AS yearly_change
FROM yearly_counts
ORDER BY year",ce62f264c1766a75a87df78f132c15417fb9fd24360d4f34c798b43c51b4793d,1,0,0,0,12.104,
Q090,"For each customer, the total number of order items linked and their rank by volume.",window_agg,hard,92fdf582df864c3927d6914e5d48a56985d999053018e3ff1398e1a4a22b474f,LEFT JOIN order_items oi ON oc.order_id = oi.order_item_id,,0,0,0,0,12.867,"Parser Error: syntax error at or near ""LEFT"""
Q091,Running total of billing_created events over time (per month in 2005).,window_agg,hard,635f1c134619065d729444160e2cdeba30eaba8d07c1997fa1b2fe6b59143beb,"SELECT 
    MONTH(timestamp) AS month,
    COUNT(*) AS monthly_count,
    SUM(COUNT(*)) OVER (ORDER BY MONTH(timestamp)) AS running_total
FROM events 
WHERE event_type = 'billing_created' 
    AND YEAR(timestamp) = 2005
GROUP BY MONTH(timestamp)
ORDER BY month",635f1c134619065d729444160e2cdeba30eaba8d07c1997fa1b2fe6b59143beb,1,1,0,0,10.791,
Q097,Which object types have a total event count above the overall average across object types?,nested_agg,hard,65c5bd22e3a5b362c3399b73a07686f051561e13ada25aaa382c71d860343ce3,"WITH type_counts AS (
    SELECT object_type, COUNT(event_id) AS cnt
    FROM events
    GROUP BY object_type
),
avg_overall AS (
    SELECT AVG(cnt) AS avg_cnt FROM type_counts
)
SELECT object_type
FROM type_counts, avg_overall
WHERE cnt > avg_cnt",1c6cc9a9c75950647b8b7d4c119ebf8e38e629b5186ad7cf3f38649d4b6ed771,1,0,0,0,9.257,
Q098,Which event types had above-average counts in 2005?,nested_agg,hard,60a1fc5c86c241a8d54cf9a652827f9493a6dbd33e20d04d14d2577e55ea86c3,"WITH event_counts AS (
    SELECT event_type, COUNT(*) AS cnt
    FROM events
    WHERE EXTRACT(YEAR FROM timestamp) = 2005
    GROUP BY event_type
),
avg_count AS (
    SELECT AVG(cnt) AS avg_cnt FROM event_counts
)
SELECT event_type
FROM event_counts, avg_count
WHERE cnt > avg_cnt",3b20b500cc2158c4da455824e2bdb6381f08ea96384d09d635ad97b76d710037,1,0,0,0,11.324,
Q099,Which years had more billing_created events than the year 2004?,nested_agg,hard,12c1c2eb2f1c09af2648f6e6705c180bb7f1e4b3d45083e338602da4638e0f51,"SELECT EXTRACT(YEAR FROM timestamp) AS year
FROM events
WHERE event_type = 'billing_created'
GROUP BY EXTRACT(YEAR FROM timestamp)
HAVING COUNT(*) > (
    SELECT COUNT(*)
    FROM events
    WHERE event_type = 'billing_created'
    AND EXTRACT(YEAR FROM timestamp) = 2004
)",aa050a753d24ec8df6e54e6e86da3d9171a0eb89156dc2f4dd2054cbdfdc7df3,1,0,0,0,9.816,
Q100,How many customers have more than the average number of linked order items?,nested_agg,hard,0dcf125c707020d9131f80175a35a893a59b85c34652446364022ba593b5b93f,,,0,0,0,1,6.368,
Q101,Which years had fewer dunning_raised events than the overall yearly average?,nested_agg,hard,381dccf5e820a9e4404ab4336cf37586543fe2a15ec99aee31894eb71e462598,,,0,0,0,1,5.858,
Q102,Months in 2005 with billing_created counts above the 2005 monthly average.,nested_agg,hard,357b6b5a0df373543edc551bf408afaeb6e96fcbfd61713b181382e9fd550b32,"WITH monthly_counts AS (
  SELECT 
    EXTRACT(MONTH FROM timestamp) AS month,
    COUNT(*) AS cnt
  FROM events
  WHERE event_type = 'billing_created'
    AND EXTRACT(YEAR FROM timestamp) = 2005
  GROUP BY EXTRACT(MONTH FROM timestamp)
),
avg_2005 AS (
  SELECT AVG(cnt) AS avg_cnt FROM monthly_counts
)
SELECT month, cnt
FROM monthly_counts, avg_2005
WHERE cnt > avg_2005.avg_cnt
ORDER BY month",357b6b5a0df373543edc551bf408afaeb6e96fcbfd61713b181382e9fd550b32,1,1,0,0,10.048,
Q109,How many order items never had a goods_issue event?,conformance,medium,a265e25a471132941b2831ca5e2f6baf4a65ee077d9a45378ddcd4c513707a4d,,,0,0,0,1,6.748,
Q110,How many billing documents have no corresponding payment_clearing event via billing_to_ar?,conformance,medium,517aa365ba647d208e3c0f2aea04b546b80ac9e6ebdbf770126c46f1bb05035e,,,0,0,0,1,7.44,
Q111,How many delivery items have no billing_created event linked via delivery_to_billing?,conformance,medium,0076dcd18bd150c19b816d5c1c4114934c9f2be74fc156477d14c8b111f5c3fc,,,0,0,0,1,7.52,
Q112,How many order items are linked to a customer but have no order_created event?,conformance,hard,0603deea603f0e6ea526d749f9a1291cdfcd2efbf1bcf4608009eb9af7a066c3,,,0,0,0,1,6.537,
Q113,Count billing_created events whose billing_doc has NULL ZTERM (missing payment terms).,conformance,hard,e755cf8537b45a268aa839bdd0a83424e37e5042abebb8ae04a94fa562bfd3a3,"SELECT COUNT(*) 
FROM events 
JOIN objects ON events.object_id = objects.object_id 
WHERE events.event_type = 'billing_created' 
AND objects.ZTERM IS NULL;",e755cf8537b45a268aa839bdd0a83424e37e5042abebb8ae04a94fa562bfd3a3,1,1,0,0,9.267,
Q114,Count order items that had delivery_created before the corresponding order_created (timestamp anomaly).,conformance,hard,d0bca111f8628137adc4c16f123496dcdd1d590d06cb5d9acd68b39fe656fb97,"WITH order_times AS (  
  SELECT object_id AS order_id, MIN(timestamp) AS t_order  
  FROM events  
  WHERE event_type = 'order_created'  
  GROUP BY object_id  
),  
delivery_times AS (  
  SELECT object_id AS delivery_id, MIN(timestamp) AS t_del  
  FROM events  
  WHERE event_type = 'delivery_created'  
  GROUP BY object_id  
)  
SELECT COUNT(DISTINCT r.from_object_id)  
FROM relations r  
JOIN order_times o ON r.from_object_id = o.order_id  
JOIN delivery_times d ON r.to_object_id = d.delivery_id  
WHERE r.relation_type = 'order_to_delivery'  
  AND o.t_order < d.t_del",d0bca111f8628137adc4c16f123496dcdd1d590d06cb5d9acd68b39fe656fb97,1,1,0,0,16.695,
